a,d,fl,fw,gh,inl,inw,k,mt,pl,pw,sh,sl,sw,uf,freq,s11,gain,bandwidth
40.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.71092,-31.733657199533,10.098383177427396,0.0848779082934592
40.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.71191,-30.94350159602,9.871342487661598,0.08678117794501927
40.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.71389,-31.333811009131,9.459732603866486,0.08846556932551886
40.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.71983,-31.75626951712,9.026983543945729,0.09237451965614141
40.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.77329,-28.766665207954,9.744481004138173,0.08565700908088847
40.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.77428,-25.265155638062,9.763814725502195,0.08499158173005339
40.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.77626,-24.236415988324,9.863892224888133,0.08329669769610903
40.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.77824,-26.949288464899,9.844723017034822,0.08636927750080847
40.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.7921,-18.313158948666,9.66372714599895,0.09020947596766227
40.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.79408,-19.207496072792,9.38074252355539,0.09042684439976112
40.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.79804,-18.70135246059,9.301995392099203
40.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.43669,-20.825143042588,10.291861684534185,0.038351820722163865
40.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.95842,-16.805774359895,10.65642616331659
40.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.42481,-16.623833168967,9.841269900196036,0.03529270300281245
40.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.42976,-19.529038589106,10.089266044052694,0.03729998670002821
40.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.43669,-23.597183667195,10.324692571886539,0.040565819655985935
40.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.73468,-29.182077227477,9.396083186150822,0.09168005956581138
40.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.73864,-27.446594717839,9.56601225748479,0.08964219981315691
40.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.74359,-27.92681155874,9.730533144489767,0.09071119330405408
40.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.74656,-31.637450283784,9.834156270060697,0.09489283843951779
40.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.75547,-27.918575276089,9.854137216054697,0.09512298747575587
40.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.75844,-26.376628980902,10.005413692936461,0.09041919053747127
40.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.75943,-26.933530513269,10.082700233571169,0.09258967677447127
40.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.76042,-33.340707491025,10.094644111324088,0.09910998145035754
40.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.78022,-30.122022694555,10.03376197336176,0.10194941924074308
40.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.78418,-31.659735370507,10.179152427104322,0.10140819225581499
40.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.78715,-29.786617743383,10.237185882799006,0.23446132731151403
40.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.79012,-24.936657169283,10.132401985668212,0.2291334901724631
40.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.79012,-20.355319434458,9.901816828880094,0.10099336864697883
40.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.79408,-20.411336696883,10.016174008344187,0.24534898282363038
40.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.79903,-18.981663748779,9.975832165167441,0.23811828201574592
40.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.80101,-17.033830325842,9.76534245354876,0.2324552845096679
30.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.37135,-28.155988448168,9.492405838620675,0.028787071359010097
30.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.3763,-22.185447849034,9.586608314243167,0.02901752850873973
30.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.38125,-19.346539637306,9.62704944134622,0.02905793316229688
30.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.38719,-18.386759576899,9.64931625934461,0.029462817551481224
30.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.94456,-21.282329046902,10.872011114413919,0.09812564653976164
